Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Online Retail,Gaussian Naive Bayes,0.9642857142857144,0.9315068493150684,0.9251700680272108,0.9283276450511946,0.9923334413130332
Credit Card Fraud,Gaussian Naive Bayes,0.9797196540411572,0.1728395061728395,0.9333333333333332,0.2916666666666667,0.9886658677851008
